exp_name,model_variant,use_bn,dropout_p,activation,optimizer,scheduler,lr,weight_decay,batch_size,epochs,params,train_time_sec,best_epoch,val_acc,val_loss,epoch_csv,acc_plot,loss_plot,cm_plot,miscls_plot
A_noBN_noDO_vanillaGD,TinyMNISTNet,False,0.0,relu,vanilla,nan,0.1,0.0,128,2,15774,12.98,2,16.52,2.045735,results\A_noBN_noDO_vanillaGD_metrics.csv,results\plots\A_noBN_noDO_vanillaGD_acc.png,results\plots\A_noBN_noDO_vanillaGD_loss.png,results\plots\A_noBN_noDO_vanillaGD_cm.png,results\plots\A_noBN_noDO_vanillaGD_miscls.png
B_bn_do_sgd_onecycle,TinyMNISTNet,True,0.05,relu,sgd,onecycle,0.05,0.0,128,2,15882,20.14,2,98.43,0.053441,results\B_bn_do_sgd_onecycle_metrics.csv,results\plots\B_bn_do_sgd_onecycle_acc.png,results\plots\B_bn_do_sgd_onecycle_loss.png,results\plots\B_bn_do_sgd_onecycle_cm.png,results\plots\B_bn_do_sgd_onecycle_miscls.png
B_bn_do_adamw_step,TinyMNISTNet,True,0.05,relu,adamw,step,0.0025,0.0001,128,2,15882,19.59,2,98.06,0.05782,results\B_bn_do_adamw_step_metrics.csv,results\plots\B_bn_do_adamw_step_acc.png,results\plots\B_bn_do_adamw_step_loss.png,results\plots\B_bn_do_adamw_step_cm.png,results\plots\B_bn_do_adamw_step_miscls.png
B_bn_do_rmsprop_plateau,TinyMNISTNet,True,0.05,relu,rmsprop,plateau,0.001,0.0001,128,2,15882,21.28,2,97.93,0.070333,results\B_bn_do_rmsprop_plateau_metrics.csv,results\plots\B_bn_do_rmsprop_plateau_acc.png,results\plots\B_bn_do_rmsprop_plateau_loss.png,results\plots\B_bn_do_rmsprop_plateau_cm.png,results\plots\B_bn_do_rmsprop_plateau_miscls.png
B_bn_do_adam_onecycle,TinyMNISTNet,True,0.05,relu,adam,onecycle,0.003,0.0001,128,2,15882,19.9,2,98.39,0.054544,results\B_bn_do_adam_onecycle_metrics.csv,results\plots\B_bn_do_adam_onecycle_acc.png,results\plots\B_bn_do_adam_onecycle_loss.png,results\plots\B_bn_do_adam_onecycle_cm.png,results\plots\B_bn_do_adam_onecycle_miscls.png
C_bs_sweep_sgd_onecycle_bs32,TinyMNISTNet,True,0.05,relu,sgd,onecycle,0.05,0.0,32,2,15882,24.21,2,99.03,0.032809,results\C_bs_sweep_sgd_onecycle_bs32_metrics.csv,results\plots\C_bs_sweep_sgd_onecycle_bs32_acc.png,results\plots\C_bs_sweep_sgd_onecycle_bs32_loss.png,results\plots\C_bs_sweep_sgd_onecycle_bs32_cm.png,results\plots\C_bs_sweep_sgd_onecycle_bs32_miscls.png
C_bs_sweep_sgd_onecycle_bs64,TinyMNISTNet,True,0.05,relu,sgd,onecycle,0.05,0.0,64,2,15882,22.04,2,98.85,0.034786,results\C_bs_sweep_sgd_onecycle_bs64_metrics.csv,results\plots\C_bs_sweep_sgd_onecycle_bs64_acc.png,results\plots\C_bs_sweep_sgd_onecycle_bs64_loss.png,results\plots\C_bs_sweep_sgd_onecycle_bs64_cm.png,results\plots\C_bs_sweep_sgd_onecycle_bs64_miscls.png
C_bs_sweep_sgd_onecycle_bs128,TinyMNISTNet,True,0.05,relu,sgd,onecycle,0.05,0.0,128,2,15882,19.91,2,98.6,0.047694,results\C_bs_sweep_sgd_onecycle_bs128_metrics.csv,results\plots\C_bs_sweep_sgd_onecycle_bs128_acc.png,results\plots\C_bs_sweep_sgd_onecycle_bs128_loss.png,results\plots\C_bs_sweep_sgd_onecycle_bs128_cm.png,results\plots\C_bs_sweep_sgd_onecycle_bs128_miscls.png
C_bs_sweep_adamw_step_bs32,TinyMNISTNet,True,0.05,relu,adamw,step,0.0025,0.0001,32,2,15882,24.1,2,98.71,0.041743,results\C_bs_sweep_adamw_step_bs32_metrics.csv,results\plots\C_bs_sweep_adamw_step_bs32_acc.png,results\plots\C_bs_sweep_adamw_step_bs32_loss.png,results\plots\C_bs_sweep_adamw_step_bs32_cm.png,results\plots\C_bs_sweep_adamw_step_bs32_miscls.png
C_bs_sweep_adamw_step_bs64,TinyMNISTNet,True,0.05,relu,adamw,step,0.0025,0.0001,64,2,15882,22.05,2,98.61,0.045591,results\C_bs_sweep_adamw_step_bs64_metrics.csv,results\plots\C_bs_sweep_adamw_step_bs64_acc.png,results\plots\C_bs_sweep_adamw_step_bs64_loss.png,results\plots\C_bs_sweep_adamw_step_bs64_cm.png,results\plots\C_bs_sweep_adamw_step_bs64_miscls.png
C_bs_sweep_adamw_step_bs128,TinyMNISTNet,True,0.05,relu,adamw,step,0.0025,0.0001,128,2,15882,20.04,2,98.87,0.041911,results\C_bs_sweep_adamw_step_bs128_metrics.csv,results\plots\C_bs_sweep_adamw_step_bs128_acc.png,results\plots\C_bs_sweep_adamw_step_bs128_loss.png,results\plots\C_bs_sweep_adamw_step_bs128_cm.png,results\plots\C_bs_sweep_adamw_step_bs128_miscls.png
C_bs_sweep_rmsprop_plateau_bs32,TinyMNISTNet,True,0.05,relu,rmsprop,plateau,0.001,0.0001,32,2,15882,26.49,1,97.28,0.082284,results\C_bs_sweep_rmsprop_plateau_bs32_metrics.csv,results\plots\C_bs_sweep_rmsprop_plateau_bs32_acc.png,results\plots\C_bs_sweep_rmsprop_plateau_bs32_loss.png,results\plots\C_bs_sweep_rmsprop_plateau_bs32_cm.png,results\plots\C_bs_sweep_rmsprop_plateau_bs32_miscls.png
C_bs_sweep_rmsprop_plateau_bs64,TinyMNISTNet,True,0.05,relu,rmsprop,plateau,0.001,0.0001,64,2,15882,23.77,2,97.33,0.078304,results\C_bs_sweep_rmsprop_plateau_bs64_metrics.csv,results\plots\C_bs_sweep_rmsprop_plateau_bs64_acc.png,results\plots\C_bs_sweep_rmsprop_plateau_bs64_loss.png,results\plots\C_bs_sweep_rmsprop_plateau_bs64_cm.png,results\plots\C_bs_sweep_rmsprop_plateau_bs64_miscls.png
C_bs_sweep_rmsprop_plateau_bs128,TinyMNISTNet,True,0.05,relu,rmsprop,plateau,0.001,0.0001,128,2,15882,21.71,2,94.3,0.184738,results\C_bs_sweep_rmsprop_plateau_bs128_metrics.csv,results\plots\C_bs_sweep_rmsprop_plateau_bs128_acc.png,results\plots\C_bs_sweep_rmsprop_plateau_bs128_loss.png,results\plots\C_bs_sweep_rmsprop_plateau_bs128_cm.png,results\plots\C_bs_sweep_rmsprop_plateau_bs128_miscls.png
C_bs_sweep_adam_onecycle_bs32,TinyMNISTNet,True,0.05,relu,adam,onecycle,0.003,0.0001,32,2,15882,24.27,2,99.02,0.032512,results\C_bs_sweep_adam_onecycle_bs32_metrics.csv,results\plots\C_bs_sweep_adam_onecycle_bs32_acc.png,results\plots\C_bs_sweep_adam_onecycle_bs32_loss.png,results\plots\C_bs_sweep_adam_onecycle_bs32_cm.png,results\plots\C_bs_sweep_adam_onecycle_bs32_miscls.png
C_bs_sweep_adam_onecycle_bs64,TinyMNISTNet,True,0.05,relu,adam,onecycle,0.003,0.0001,64,2,15882,22.06,2,98.85,0.036745,results\C_bs_sweep_adam_onecycle_bs64_metrics.csv,results\plots\C_bs_sweep_adam_onecycle_bs64_acc.png,results\plots\C_bs_sweep_adam_onecycle_bs64_loss.png,results\plots\C_bs_sweep_adam_onecycle_bs64_cm.png,results\plots\C_bs_sweep_adam_onecycle_bs64_miscls.png
C_bs_sweep_adam_onecycle_bs128,TinyMNISTNet,True,0.05,relu,adam,onecycle,0.003,0.0001,128,2,15882,20.15,2,98.9,0.043326,results\C_bs_sweep_adam_onecycle_bs128_metrics.csv,results\plots\C_bs_sweep_adam_onecycle_bs128_acc.png,results\plots\C_bs_sweep_adam_onecycle_bs128_loss.png,results\plots\C_bs_sweep_adam_onecycle_bs128_cm.png,results\plots\C_bs_sweep_adam_onecycle_bs128_miscls.png
D_activation_relu,TinyMNISTNet,True,0.05,relu,adamw,step,0.0025,0.0001,128,2,15882,19.89,2,97.6,0.075655,results\D_activation_relu_metrics.csv,results\plots\D_activation_relu_acc.png,results\plots\D_activation_relu_loss.png,results\plots\D_activation_relu_cm.png,results\plots\D_activation_relu_miscls.png
D_activation_silu,TinyMNISTNet,True,0.05,silu,adamw,step,0.0025,0.0001,128,2,15882,19.88,2,98.72,0.046674,results\D_activation_silu_metrics.csv,results\plots\D_activation_silu_acc.png,results\plots\D_activation_silu_loss.png,results\plots\D_activation_silu_cm.png,results\plots\D_activation_silu_miscls.png
D_activation_gelu,TinyMNISTNet,True,0.05,gelu,adamw,step,0.0025,0.0001,128,2,15882,19.52,1,96.62,0.101842,results\D_activation_gelu_metrics.csv,results\plots\D_activation_gelu_acc.png,results\plots\D_activation_gelu_loss.png,results\plots\D_activation_gelu_cm.png,results\plots\D_activation_gelu_miscls.png
